,zipcode,address,price,size
109,91007,"265 W Naomi Ave, Arcadia, CA 91007",4998000,8357
110,91007,"971 Hugo Reid Dr, Arcadia, CA 91007",1949000,2833
112,91007,"182 W Palm Dr, Arcadia, CA 91007",1678000,3175
113,91007,"345 W Naomi Ave, Arcadia, CA 91007",6198000,9333
114,91007,"458 W Huntington Dr UNIT A, Arcadia, CA 91007",719900,1722
115,91007,"362 W Le Roy Ave, Arcadia, CA 91007",1485000,2302
116,91007,"412 W Palm Dr, Arcadia, CA 91007",5580000,9169
117,91007,"98 W Wistaria Ave, Arcadia, CA 91007",3360000,7135
118,91007,"27 W Magna Vista Ave, Arcadia, CA 91007",1958000,4163
119,91007,"623 Fairview Ave APT B, Arcadia, CA 91007",1198000,2004
120,91011,"1336 Sugar Loaf Dr, La Canada Flintridge, CA 91011",3150000,4805
121,91011,"1871 Earlmont Ave, La Canada Flintridge, CA 91011",3000000,3201
122,91011,"539 Georgian Rd, La Canada Flintridge, CA 91011",2500000,3226
123,91011,"4472 Saint Francis Pl, La Canada Flintridge, CA 91011",1399999,1895
124,91011,"1731 Verdugo Blvd, La Canada Flintridge, CA 91011",1395000,1432
125,91011,"721 Craig Ave, La Canada Flintridge, CA 91011",2150000,3091
127,91011,"5481 Ocean View Blvd, La Canada Flintridge, CA 91011",2450000,3066
128,91011,"509 Meadow Grove St, La Canada Flintridge, CA 91011",4795000,7065
129,91011,"0 Commonwealth Ave, La Canada Flintridge, CA 91011",799000,7405
130,91011,"Commonwealth Ave, La Canada, CA 91011",799000,7426
131,91011,"4309 Woodleigh Ln, La Canada Flintridge, CA 91011",3695000,4001
132,91011,"4647 El Camino Corto La Canada, La Canada Flintridge, CA 91011",1598000,2704
134,91011,"1007 Wiladonda Dr, La Canada Flintridge, CA 91011",1825000,2939
136,91011,"4621 Indiana Ave, La Canada Flintridge, CA",3750000,4525
137,91011,"4064 Chevy Chase Dr, La Canada Flintridge, CA 91011",4295000,5021
138,91011,"859 Saint Katherine Dr, La Canada Flintridge, CA 91011",2195000,3373
139,91011,"1248 Inverness Dr, La Canada Flintridge, CA 91011",10995000,9533
140,91011,"4834 Commonwealth Ave, La Canada Flintridge, CA 91011",2650000,3605
141,91011,"623 Houseman St, La Canada Flintridge, CA 91011",1700000,1896
142,91011,"5246 Donna Maria Ln, La Canada Flintridge, CA 91011",1795000,3211
143,91011,"4331 Shepherds Ln, La Canada Flintridge, CA 91011",5250000,8132
144,91011,"1260 Descanso Dr, La Canada Flintridge, CA 91011",3995000,4909
145,91011,"535 Meadow Grove St, La Canada Flintridge, CA 91011",7895000,8007
146,91011,"4312 Woodleigh Ln, La Canada Flintridge, CA 91011",3490000,3935
147,91011,"954 Flintridge Ave, La Canada, CA 91011",4295000,5100
148,91011,"5391 Ocean View Blvd, La Canada Flintridge, CA 91011",3495000,4626
151,91011,"4533 La Granada Way, La Canada Flintridge, CA 91011",2299000,4029
152,91011,"5048 Commonwealth Ave, La Canada Flintridge, CA 91011",2825000,3647
153,91011,"1600 Fairmount Ave, La Canada Flintridge, CA 91011",10000000,10409
154,91011,"887 Flintridge Ave, La Canada Flintridge, CA 91011",5995000,9236
156,91011,"5062 Westslope Ln, La Canada Flintridge, CA 91011",1999888,3072
157,91011,"1718 Lila Ln, La Canada Flintridge, CA 91011",3995000,7738
158,91011,"4111 Chevy Chase Dr, La Canada Flintridge, CA 91011",4350000,6819
160,91010,"1415 Maynard Dr, Duarte, CA 91010",365000,849
161,91010,"2590 Huntington Dr UNIT A, Duarte, CA 91010",469500,1341
162,91010,"423 Benrud St, Duarte, CA 91010",675000,1057
163,91010,"836 Junipero Dr, Duarte, CA 91010",345000,832
165,91010,"3209 Elda St, Duarte, CA 91010",625000,1346
166,91010,"897 Calle Del Norte, Duarte, CA 91010",709999,1729
169,91010,"1676 3rd St, Duarte, CA",668000,1592
170,91010,"1643 Eastford Ave, Duarte, CA 91010",594900,1460
171,91010,"3212 Shadylawn Dr, Duarte, CA 91010",688504,2019
172,91010,"922 Junipero Dr UNIT 45B, Duarte, CA 91010",117020,1090
174,91010,"1608 3rd St, Duarte, CA",679950,1614
175,91010,"1030 Bradbourne Ave SPC 36, Duarte, CA 91010",65000,720
177,91010,"1213 Oliva Ct, Duarte, CA",582880,1773
179,91010,"2630 Huntington Dr UNIT C, Duarte, CA 91010",449000,1330
180,91010,"608 El Sur St, Duarte, CA 91010",539000,1622
181,91010,"958 Newington St, Duarte, CA 91010",850000,2093
182,91010,"845 Random Ln, Duarte, CA 91010",715000,1360
183,91010,"830 Swiss Trl, Duarte, CA 91010",440293,1374
184,91010,"2051 Capehart Ave, Duarte, CA 91010",485000,990
185,91010,"827 Miltonwood Ave, Duarte, CA 91010",799000,1710
186,91010,"2612 Sunnydale Dr, Duarte, CA 91010",779000,2299
188,91010,"1836 Mountain Ave, Duarte, CA 91010",678000,1419
189,91010,"2610 Huntington Dr UNIT B, Duarte, CA 91010",435500,1330
190,91010,"2597 Sunnydale Dr, Duarte, CA 91010",858000,2572
191,91010,"1020 Bradbourne Ave SPC 39, Duarte, CA 91010",39900,772
192,91010,"1616 3rd St, Duarte, CA 91010",599950,1556
193,91010,"2604 Starcrest Dr, Duarte, CA 91010",695000,1558
194,91010,"257 Bettyhill Ave, Duarte, CA 91010",945000,2721
196,91010,"1555 3rd St, Duarte, CA 91010",675000,1728
197,91010,"1516 2nd St, Duarte, CA 91010",575000,1455
199,91010,"808 Lewiston St, Duarte, CA 91010",575000,1976
200,91016,"160 N Magnolia Ave, Monrovia, CA 91016",998000,2200
201,91016,"148 Andre St, Monrovia, CA 91016",799000,1860
202,91016,"428 E Altern St, Monrovia, CA 91016",500363,1029
203,91016,"145 Los Angeles Ave, Monrovia, CA 91016",980000,2810
204,91016,"261 N Canyon Blvd, Monrovia, CA 91016",1329900,3677
205,91016,"959 W Hillcrest Blvd, Monrovia, CA 91016",1138000,2680
207,91016,"416 Jeffries Ave SPC 85, Monrovia, CA 91016",139500,1440
208,91016,"440 Prospect Ave, Monrovia, CA 91016",1250000,2728
209,91016,"1846 10th Ave, Monrovia, CA 91016",578000,884
210,91016,"818 Alta St APT B, Monrovia, CA 91016",469000,1150
211,91016,"428 E Walnut Ave, Monrovia, CA 91016",799999,1272
212,91016,"348 Shrode Ave, Monrovia, CA 91016",685000,1029
213,91016,"415 S Primrose Ave, Monrovia, CA 91016",679000,1826
214,91016,"805 W Duarte Rd UNIT D, Monrovia, CA 91016",669000,1485
215,91016,"920 W Colorado Blvd, Monrovia, CA 91016",1050000,614
216,91016,"1 Hidden Valley Rd, Monrovia, CA 91016",1399000,3267
217,91016,"425 Parkrose Ave, Monrovia, CA 91016",779000,1320
218,91016,"1820 S Alta Vista Ave, Monrovia, CA 91016",600000,9021
220,91016,"432 S Shamrock Ave, Monrovia, CA 91016",738000,1356
221,91016,"343 Linwood Ave, Monrovia, CA 91016",739000,1200
222,91016,"541 Cloverleaf Way, Monrovia, CA 91016",1298000,2540
224,91016,"620 Laurel Ln, Monrovia, CA 91016",1288000,2135
225,91016,"1841 S Mayflower Ave, Monrovia, CA 91016",799000,1670
226,91016,"166 N Madison Ave, Monrovia, CA 91016",899000,1666
227,91016,"273 Melrose Ave, Monrovia, CA 91016",919900,1865
228,91016,"971 Norumbega Dr, Monrovia, CA 91016",1100000,1807
230,91016,"356 N Alta Vista Ave, Monrovia, CA 91016",1080000,2373
231,91016,"818 Ocean View Ave, Monrovia, CA 91016",1100000,1963
232,91016,"889 Ridgeside Dr, Monrovia, CA 91016",859000,1725
234,91016,"124 N Sunset Pl, Monrovia, CA 91016",1175000,3069
237,91016,"1090 Norumbega Dr, Monrovia, CA 91016",969000,1740
238,91016,"525 La Casita Ln, Monrovia, CA 91016",720000,1181
239,91016,"727 W Foothill Blvd, Monrovia, CA 91016",1275000,2690
240,91020,"2307 Mira Vista Ave APT 106, Montrose, CA 91020",749000,1690
241,91020,"2350 Florencita Ave, Montrose, CA 91020",1629000,2649
242,91020,"2732 Piedmont Ave APT 8, Glendale, CA 91020",735000,1778
244,91020,"2300 Montrose Ave APT 8, Montrose, CA 91020",5580000,12172
245,91020,"2246 Crescent Ave, Montrose, CA 91020",1100000,1792
246,91020,"2575 Mayfield Ave, Montrose, CA 91020",989000,2099
247,91020,"2470 Montrose Ave APT 4, Montrose, CA 91020",695000,1625
248,91020,"2454 Montrose Ave # 5, Montrose, CA 91020",849000,1730
249,91020,"2454 Montrose Ave # 4, Montrose, CA 91020",789000,1493
250,91020,"2454 Montrose Ave # 1, Montrose, CA 91020",779000,1493
251,91020,"2454 Montrose Ave # 8, Montrose, CA 91020",729000,1493
252,91020,"2454 Montrose Ave # 9, Montrose, CA 91020",729000,1493
253,91020,"2454 Montrose Ave # 10, Montrose, CA 91020",749000,1493
254,91020,"2454 Montrose Ave # 12, Montrose, CA 91020",849000,1785
255,91020,"2454 Montrose Ave # 3, Montrose, CA 91020",749000,1493
256,91020,"2535 Mary St, Montrose, CA 91020",898000,1080
257,91020,"2454 Montrose Ave # 7, Montrose, CA 91020",729000,1493
258,91020,"2454 Montrose Ave # 2, Montrose, CA 91020",769000,1493
259,91020,"2454 Montrose Ave # 11, Montrose, CA 91020",879000,1785
260,91020,"2615 Manhattan Ave, Montrose, CA 91020",1137962,2704
261,91020,"2745 Montrose Ave APT 102, Montrose, CA 91020",789000,1770
262,91020,"2222 Montrose Ave UNIT C, Montrose, CA 91020",879000,1834
263,93510,"2310 W Avenue Y8, Acton, CA 93510",789500,3542
267,93510,"5805 Corradi Ter, Acton, CA 93510",525000,384
268,93510,"2515 Trails End Rd, Acton, CA 93510",649999,2778
269,93510,"31510 Indian Oak Rd, Acton, CA 93510",439000,1536
270,93510,"32929 Dorama Ave, Acton, CA 93510",639900,1916
272,93510,"2035 Galloping Way, Acton, CA 93510",555000,1947
273,93510,"5716 Corradi Ter, Acton, CA 93510",499000,1571
276,93510,"6300 Hubbard Rd, Acton, CA 93510",499500,2564
277,93510,"32520 Michigan Ave, Acton, CA 93510",650000,2069
281,93510,"2011 Galloping Way, Acton, CA 93510",529900,1328
283,93510,"Vic Shannon View Rd, Acton, CA 93510",55000,20
285,93510,"2521 Soledad Canyon Rd, Acton, CA 93510",619000,2120
297,93510,"3591 Soledad Canyon Rd, Acton, CA 93510",615000,1680
300,93510,"2910 Sacramento Ave, Acton, CA 93510",999999,3886
301,93510,"32233 Indiana Ave, Acton, CA 93510",615000,2550
303,91024,"765 Woodland Dr, Sierra Madre, CA 91024",725000,1092
304,91024,"98 Auburn Ave, Sierra Madre, CA 91024",699000,1389
305,91024,"250 Monte Vista Ln, Sierra Madre, CA 91024",1795000,2642
306,91024,"529 W Orange Grove Ave, Sierra Madre, CA 91024",2290000,3732
307,91024,"451 Camillo Rd, Sierra Madre, CA 91024",1125000,1641
308,91024,"222 W Grandview Ave, Sierra Madre, CA 91024",885000,1430
309,91024,"650 Sierra Meadows Dr, Sierra Madre, CA 91024",1190000,2105
310,91024,"541 Foothill Ave, Sierra Madre, CA 91024",995000,1641
311,91024,"225 N Lima St, Sierra Madre, CA 91024",3200000,10000
312,91024,"80 S Baldwin Ave, Sierra Madre, CA 91024",2788000,5926
