,zipcode,address,price,size
0,91775,"6137 Avon Ave, San Gabriel, CA 91775",999000,1750
1,91775,"1258 Elm Ave, San Gabriel, CA 91775",698000,1660
2,91775,"412 Gerona Ave, San Gabriel, CA 91775",1150000,1554
3,91775,"6917 N Muscatel Ave, San Gabriel, CA 91775",718800,1020
4,91775,"8315 Youngdale St, San Gabriel, CA 91775",1090000,2299
5,91775,"8454 Elm Ave, San Gabriel, CA 91775",729500,1088
6,91775,"136 N San Marino Ave, San Gabriel, CA 91775",699990,1091
7,91775,"9128 E Fairview Ave, San Gabriel, CA 91775",1280000,3591
8,91775,"8420 Garibaldi Ave, San Gabriel, CA 91775",798000,1809
9,91775,"6470 Lemon Ave, San Gabriel, CA 91775",988888,2582
10,91775,"8908 Greenwood Ave, San Gabriel, CA",998000,2120
11,91775,"6933 Rosemead Blvd, San Gabriel, CA 91775",9750000,23805
12,91775,"716 W Roses Rd, San Gabriel, CA 91775",998800,2072
14,91775,"6728 Longmont Ave, San Gabriel, CA",1628000,4120
15,91775,"8228 Elm Ave, San Gabriel, CA 91775",1298000,2808
16,91775,"8239 Longden Ave, San Gabriel, CA 91775",935000,1622
17,91775,"8841 E Fairview Ave, San Gabriel, CA 91775",1050000,2640
18,91775,"8723 E Hermosa Dr, San Gabriel, CA 91775",1188000,2150
19,91775,"346 N Del Mar Ave, San Gabriel, CA 91775",1100000,2006
21,91775,"8825 Greenwood Ave, San Gabriel, CA 91775",725000,1121
22,91775,"6219 1/2 Avon Ave, Temple City, CA 91775",659888,1124
23,91775,"7271 Jackson Pl, San Gabriel, CA 91775",1100000,2512
24,91775,"5730 N Willard Ave, San Gabriel, CA 91775",15700000,38996
26,91775,"512 N San Marino Ave, San Gabriel, CA 91775",1288000,2801
27,91775,"8521 Beverly Dr, San Gabriel, CA 91775",1040000,2548
28,91775,"8932 E Fairview Ave, San Gabriel, CA 91775",850000,1811
29,91775,"8847 E Fairview Ave, San Gabriel, CA 91775",1050000,2543
30,91775,"8877 Emperor Ave, San Gabriel, CA 91775",725000,945
32,91775,"1070 Kendall Dr, San Gabriel, CA 91775",1100000,1965
34,91775,"9072 Arcadia Ave, San Gabriel, CA 91775",2600000,2678
35,91775,"700 Alabama St, San Gabriel, CA 91775",1800000,2825
36,91775,"8849 E Fairview Ave, San Gabriel, CA 91775",1050000,2567
37,91775,"8851 E Fairview Ave, San Gabriel, CA 91775",1050000,2674
38,91775,"7106 Sultana Ave, San Gabriel, CA 91775",699626,1110
39,91775,"6581 N Vista St, San Gabriel, CA 91775",1100000,2362
40,91780,"11138 Wildflower Rd, Temple City, CA",1380000,3200
41,91780,"10218 Nadine St, Temple City, CA 91780",828000,1272
42,91780,"5649 Sultana Ave, Temple City, CA 91780",799000,1608
43,91780,"9936 Duffy St, Temple City, CA 91780",938000,1513
45,91780,"5524 Florinda Ave, Temple City, CA",898000,1948
46,91780,"11112 Freer St, Temple City, CA",950000,2108
47,91780,"5420 Golden West Ave, Temple City, CA 91780",938000,1998
48,91780,"5317 Golden West Ave, Temple City, CA 91780",749900,1452
49,91780,"9569 Broadway APT 6, Temple City, CA 91780",699000,1584
50,91780,"9556 Nadine St, Temple City, CA 91780",805000,1768
51,91780,"5622 Loma Ave, Temple City, CA 91780",1500888,2472
52,91780,"9226 Live Oak Ave, Temple City, CA 91780",1938000,3824
53,91780,"4809 Glickman Ave, Temple City, CA 91780",725000,1631
54,91780,"5014 Temple City Blvd, Temple City, CA 91780",1889000,3534
55,91780,"5015 Tyler Ave APT D, Temple City, CA 91780",638000,1787
56,91780,"10636 Danbury St, Temple City, CA 91780",800000,1572
57,91780,"11165 Wildflower Rd # 4, Temple City, CA 91780",1459000,3374
58,91780,"4823 Heleo Ave, Temple City, CA 91780",1999000,1631
59,91780,"5238 Camellia Ave, Temple City, CA 91780",1590000,3025
60,91780,"4435 Ellis Lane, Temple City, CA 91780",899000,2136
61,91780,"5321 Fratus Dr, Temple City, CA 91780",1638000,3328
62,91780,"6463 Loma Ave, Temple City, CA 91780",1998000,3998
63,91780,"9480 Olive St, Temple City, CA 91780",850000,1501
65,91780,"5203 Barela Ave, Temple City, CA",1548000,2920
66,91780,"9076 Olive St, Temple City, CA 91780",1799000,3910
67,91780,"9827 Key West St, Temple City, CA 91780",798000,1459
69,91780,"5223 Myrtus Ave, Temple City, CA 91780",649000,1840
70,91780,"9418 Emperor Ave, Temple City, CA 91780",1650000,3128
74,91780,"5329 Temple City Blvd, Temple City, CA 91780",880000,2340
75,91780,"4949 Doreen Ave, Temple City, CA 91780",775000,1274
76,91780,"5123 Agnes Ave, Temple City, CA",1568000,3080
77,91780,"5460 Hilton Ave, Temple City, CA 91780",988000,2822
78,91780,"6122 Sultana Ave, Temple City, CA",1898000,3280
80,90024,"10580 Wilshire Blvd APT 6S, Los Angeles, CA 90024",2850000,2560
81,90024,"10590 Wilshire Blvd APT 902, Los Angeles, CA 90024",699000,1202
82,90024,"10490 Wilshire Blvd APT 1004, Los Angeles, CA 90024",2995000,2776
83,90024,"1628 Pandora Ave, Los Angeles, CA 90024",2995000,2882
84,90024,"10450 Wilshire Blvd UNIT 4B, Los Angeles, CA 90024",775000,1325
85,90024,"10617 Eastborne Ave APT 102, Los Angeles, CA 90024",1123521,1638
86,90024,"10750 Wilshire Blvd, Los Angeles, CA 90024",989241,1733
87,90024,"10475 Ashton Ave APT 102, Los Angeles, CA 90024",1195000,1756
88,90024,"1440 Veteran Ave APT 311, Los Angeles, CA 90024",559000,661
89,90024,"1533 Veteran Ave, Los Angeles, CA 90024",2395000,3613
90,90024,"10501 Wilshire Blvd, Los Angeles, CA 90024",775000,1384
91,90024,"10501 Wilshire Blvd UNIT 1204, Los Angeles, CA 90024",775000,888
92,90024,"10550 Wilshire Blvd APT 201, Los Angeles, CA 90024",950000,1759
93,90024,"383 S Beverly Glen Blvd, Los Angeles, CA 90024",9400000,7092
94,90024,"820 Glenmont Ave, Los Angeles, CA 90024",3995000,3529
95,90024,"300 Hilgard Ave, Los Angeles, CA 90024",4595000,4397
96,90024,"1333 S Beverly Glen Blvd APT 402, Los Angeles, CA 90024",1410000,2011
97,90024,"10796 Ashton Ave, Los Angeles, CA 90024",2695000,2696
98,90024,"10603 Rochester Ave, Los Angeles, CA 90024",2595000,1767
99,90024,"875 Comstock Ave APT 1A, Los Angeles, CA 90024",1275000,2265
100,90024,"10430 Wilshire Blvd APT 1403, Los Angeles, CA 90024",1995000,2298
101,90024,"1650 Veteran Ave APT 107, Los Angeles, CA 90024",799000,1000
102,90024,"10800 Wilshire Blvd APT 1004, Los Angeles, CA 90024",4495000,3280
103,90024,"10726 Wellworth Ave, Los Angeles, CA 90024",3499000,3101
104,90024,"10430 Wilshire Blvd APT 1905, Los Angeles, CA 90024",1775000,2118
105,90024,"1634 Malcolm Ave APT 4, Los Angeles, CA 90024",1575000,2600
106,90024,"10551 Wilshire Blvd APT 602, Los Angeles, CA 90024",1450000,2393
107,90024,"10601 Wilshire Blvd APT 703, Los Angeles, CA 90024",1995000,2375
108,90024,"10490 Wilshire Blvd APT 504, Los Angeles, CA 90024",2250000,2776
109,90024,"10856 Rochester Ave, Los Angeles, CA 90024",1859000,1817
111,90024,"10430 Wilshire Blvd APT 1703, Los Angeles, CA 90024",1850000,2298
112,90024,"10601 Wilshire Blvd APT 601, Los Angeles, CA 90024",2195000,2036
113,90024,"10380 Wilshire Blvd APT 1002, Los Angeles, CA 90024",2950000,3190
114,90024,"10724 Wilshire Blvd APT 503, Los Angeles, CA 90024",735000,962
115,90024,"10350 Wyton Dr, Los Angeles, CA 90024",49500000,18000
116,90024,"10501 Wilshire Blvd UNIT 1104, Los Angeles, CA 90024",675000,744
118,90024,"10501 Wilshire Blvd UNIT 807, Los Angeles, CA 90024",740000,817
119,90024,"227 Veteran Ave, Los Angeles, CA 90024",5250000,5149
120,90023,"1178 Spence St, Los Angeles, CA 90023",559000,1358
121,90023,"3525 Sabina St, Los Angeles, CA 90023",711800,2212
122,90023,"720 S Record Ave, Los Angeles, CA 90023",625000,1995
123,90023,"1104 S Dacotah St, Los Angeles, CA 90023",689900,1850
124,90023,"810 S Alma Ave, Los Angeles, CA 90023",699000,1584
125,90023,"3674 Percy St, Los Angeles, CA 90023",1295000,3600
126,90023,"727 S Saint Louis St, Los Angeles, CA 90023",699000,1660
127,90023,"1143 S Marianna Ave, Los Angeles, CA 90023",469900,756
128,90023,"948 S Bonnie Beach Pl, Los Angeles, CA 90023",810000,1724
129,90023,"1450 S Downey Rd, Los Angeles, CA 90023",474999,1192
130,90023,"2236 Whittier Blvd, Los Angeles, CA 90023",1595000,7797
134,90023,"4253 E Olympic Blvd, Los Angeles, CA 90023",385000,795
136,90023,"647 S Bonnie Beach Pl, Los Angeles, CA 90023",788000,2448
137,90023,"3835 Whittier Blvd, Los Angeles, CA 90023",1750000,6144
138,90023,"1141 Orme Ave, Los Angeles, CA 90023",668800,3250
141,90023,"3030 Inez St, Los Angeles, CA 90023",599900,2232
144,90023,"3315 Hunter St, Los Angeles, CA 90023",525250,1584
147,90023,"703 S Chicago St, Los Angeles, CA 90023",850000,1520
148,90023,"3310 Estrada St, Los Angeles, CA 90023",699900,2256
150,90023,"S Townsend Ave, East Los Angeles, CA 90023",680000,1549
151,90023,"1271 S Townsend Ave, Los Angeles, CA 90023",680000,1549
152,90023,"3454 Sabina St, Los Angeles, CA 90023",997000,4104
153,90023,"1150 S Hicks Ave, Los Angeles, CA 90023",657803,2323
154,90023,"3434 Siskiyou St, Los Angeles, CA 90023",579000,1488
159,90023,"3651 Whittier Blvd, Los Angeles, CA 90023",1300000,8655
160,90026,"2253 Aaron St, Los Angeles, CA 90026",2150000,2532
161,90026,"247 N Westlake Ave, Los Angeles, CA 90026",2200000,883
162,90026,"1085 W Kensington Rd, Los Angeles, CA 90026",699000,1059
163,90026,"117 S Bixel St, Los Angeles, CA 90026",695000,1235
164,90026,"1259 W 2nd St, Los Angeles, CA 90026",695000,1256
165,90026,"1126 W Edgeware Rd, Los Angeles, CA 90026",535000,850
166,90026,"1717 Morton Ave, Los Angeles, CA 90026",600000,468
167,90026,"1721 Morton Ave, Los Angeles, CA 90026",699000,1844
168,90026,"2142 Marathon St, Los Angeles, CA 90026",899000,1236
169,90026,"3203 Council St, Los Angeles, CA 90026",550000,960
170,90026,"201 N Dillon St, Los Angeles, CA 90026",750000,1569
171,90026,"1150 Laveta Ter, Los Angeles, CA 90026",1399000,2993
172,90026,"1662 Rotary Dr, Los Angeles, CA 90026",1499999,2166
173,90026,"1306 Waterloo St, Los Angeles, CA 90026",1895000,2218
174,90026,"1337 Bellevue Ave, Los Angeles, CA 90026",998000,2709
176,90026,"2202 Selig Dr, Los Angeles, CA 90026",850000,1219
177,90026,"1752 Clinton St, Los Angeles, CA 90026",950000,1996
178,90026,"2160 Clifford St, Los Angeles, CA 90026",1125000,1774
179,90026,"1658 Golden Gate Ave, Los Angeles, CA 90026",2197000,2030
180,90026,"1645 Golden Gate Ave, Los Angeles, CA 90026",1995000,2562
181,90026,"126 N Park View St, Los Angeles, CA 90026",850000,7997
182,90026,"2203 Edendale Ln, Los Angeles, CA 90026",799500,1219
183,90026,"1140 Echo Park Ave, Los Angeles, CA 90026",2700000,3874
184,90026,"422 N Reno St, Los Angeles, CA 90026",1095000,2030
185,90026,"207 N Reno St APT 4, Los Angeles, CA 90026",1395000,1000
186,90026,"207 N Reno St APT 1, Los Angeles, CA 90026",1395000,3228
188,90026,"207 N Reno St APT 3, Los Angeles, CA 90026",1395000,1000
189,90026,"207 N Reno St, Los Angeles, CA 90026",1395000,3132
190,90026,"810 N Bonnie Brae St, Los Angeles, CA 90026",1399000,2555
191,90026,"1722 Rotary Dr, Los Angeles, CA 90026",1870000,3066
192,90026,"1433 N Occidental Blvd, Los Angeles, CA 90026",949000,840
