,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
59,190519147,5,2019-12-09T00:00:00.000,1120,600 N  HARBOR                       BL,33.7485,-118.2803,626,90731
60,192119593,21,2019-12-09T00:00:00.000,1020,VENTURA                      BL,34.1664,-118.5883,624,91364
61,190623459,6,2019-12-09T00:00:00.000,30,5700    HAROLD                       WY,34.0993,-118.3136,624,90028
62,191120629,11,2019-12-09T00:00:00.000,500,2600    IDELL                        ST,34.086,-118.2248,420,90065
63,191323546,13,2019-12-09T00:00:00.000,200,TOWNE,34.0342,-118.2496,740,90021
64,190417778,4,2019-12-09T00:00:00.000,1400,400 S  BOYLE                        AV,34.0431,-118.2196,740,90033
65,192021134,20,2019-12-09T00:00:00.000,140,VERMONT                      AV,34.0654,-118.2916,625,90020
66,191824574,18,2019-12-09T00:00:00.000,1000,10900    MCKINLEY                     AV,33.9373,-118.2608,625,90059
67,191323548,13,2019-12-09T00:00:00.000,400,300 W  66TH                         ST,33.9798,-118.2783,810,90003
68,192021138,20,2019-12-09T00:00:00.000,1520,800 S  HARVARD                      BL,34.0577,-118.3042,510,90005
69,191617391,16,2019-12-09T00:00:00.000,330,12700    MONTAGUE                     ST,34.2487,-118.4098,510,91331
70,190417754,4,2019-12-09T00:00:00.000,259,5200    ALHAMBRA                     AV,34.0736,-118.1724,310,90032
71,191018759,10,2019-12-09T00:00:00.000,840,WHITE OAK                    AV,34.1723,-118.5185,886,91316
72,191120625,11,2019-12-09T00:00:00.000,1515,800 N  AVENUE 54,34.1152,-118.1991,626,90042
73,191323533,13,2019-12-09T00:00:00.000,200,MCKINLEY                     AV,34.0223,-118.2719,310,90007
74,191120592,11,2019-12-09T00:00:00.000,1620,1300 N  SAN FERNANDO                 RD,34.0974,-118.2367,901,90065
75,190720547,7,2019-12-09T00:00:00.000,645,1300    HAUSER                       BL,34.0513,-118.3558,210,90019
76,190519145,5,2019-12-09T00:00:00.000,1530,ANCHORAGE                    RD,33.7658,-118.2468,510,90744
77,192021118,20,2019-12-09T00:00:00.000,730,300 S  VERMONT                      AV,34.0691,-118.2917,440,90004
78,190417765,4,2019-12-09T00:00:00.000,900,600 S  LORENA                       ST,34.0308,-118.199,626,90023
79,192021129,20,2019-12-09T00:00:00.000,220,3100    WILSHIRE                     BL,34.0618,-118.2891,230,90020
80,191120594,11,2019-12-09T00:00:00.000,330,1300 N  SAN FERNANDO                 RD,34.0974,-118.2367,901,90065
81,191719139,17,2019-12-09T00:00:00.000,1815,18600    DEVONSHIRE                   ST,34.2609,-118.5346,510,91326
82,190128847,1,2019-12-09T00:00:00.000,820,800 S  FIGUEROA                     ST,34.0483,-118.2631,341,90015
83,191018779,10,2019-12-09T00:00:00.000,1740,5100    CALVIN                       AV,34.1646,-118.5558,354,91356
84,192119591,21,2019-12-09T00:00:00.000,1505,20300    CANTARA                      ST,34.2192,-118.5754,888,91306
85,192021142,20,2019-12-09T00:00:00.000,1240,1100    MENLO                        AV,34.0508,-118.2907,745,90006
86,190920964,9,2019-12-09T00:00:00.000,45,VANOWEN                      ST,34.1939,-118.4574,230,91405
87,190720572,7,2019-12-09T00:00:00.000,730,HIGHLAND,34.0871,-118.3386,626,90038
88,191228494,12,2019-12-09T00:00:00.000,141,800 E  74TH                         ST,33.973,-118.2608,648,90001
89,191018774,10,2019-12-09T00:00:00.000,454,7000    JAMIESON                     AV,34.1975,-118.5216,420,91335
90,190519146,5,2019-12-09T00:00:00.000,30,1500 W  PACIFIC COAST                HY,33.7895,-118.3027,230,90710
91,191425189,14,2019-12-09T00:00:00.000,1100,ROSE,34.0014,-118.4679,230,90291
92,192021113,20,2019-12-09T00:00:00.000,50,3900    BEVERLY                      BL,34.0763,-118.2932,210,90004
93,191120590,11,2019-12-09T00:00:00.000,530,2800 W  AVENUE 35,34.1157,-118.2358,510,90065
94,190128830,1,2019-12-09T00:00:00.000,700,300 E  5TH                          ST,34.0449,-118.2458,624,90013
95,192021124,20,2019-12-09T00:00:00.000,30,600 S  HOBART                       BL,34.0636,-118.3054,626,90020
96,191425157,14,2019-12-09T00:00:00.000,450,3700    WATSEKA                      AV,34.0267,-118.3986,341,90034
97,191228524,12,2019-12-09T00:00:00.000,1200,10600 S  WESTERN                      AV,33.9417,-118.3113,888,90047
98,191617396,16,2019-12-09T00:00:00.000,1100,VAN NUYS                     BL,34.2694,-118.4315,624,91331
99,191120589,11,2019-12-09T00:00:00.000,30,3000    WAVERLY                      DR,34.1106,-118.2678,626,90039
100,190128861,1,2019-12-09T00:00:00.000,1,LOS ANGELES                  ST,34.0485,-118.2447,330,90013
101,191323526,13,2019-12-09T00:00:00.000,445,5200 S  BROADWAY,33.9924,-118.2772,902,90037
102,190222998,2,2019-12-09T00:00:00.000,1200,300    FIRMIN                       ST,34.0638,-118.2545,510,90026
103,190128818,1,2019-12-09T00:00:00.000,110,700 S  HOPE                         ST,34.048,-118.2577,888,90017
104,190720567,7,2019-12-09T00:00:00.000,1000,8500 W  3RD                          ST,34.0734,-118.3765,230,90048
105,190519154,5,2019-12-09T00:00:00.000,2100,L,33.7867,-118.2643,753,90744
106,190623481,6,2019-12-09T00:00:00.000,1400,BEVERLY,34.0998,-118.3211,341,90028
107,190128856,1,2019-12-09T00:00:00.000,1005,700 S  FIGUEROA                     ST,34.0483,-118.2631,442,90015
108,191824615,18,2019-12-09T00:00:00.000,1915,10100    GRANDEE                      AV,33.9397,-118.2438,230,90002
109,191601086,16,2019-12-09T00:00:00.000,600,11100    ARMINTA                      ST,34.2178,-118.37299999999999,236,91352
110,190519143,5,2019-12-09T00:00:00.000,730,900    LAGOON                       AV,33.7811,-118.2676,740,90744
111,190128849,1,2019-12-09T00:00:00.000,900,700 W  7TH                          ST,34.0491,-118.2558,442,90017
112,190128850,1,2019-12-09T00:00:00.000,1030,100 W  2ND                          ST,34.051,-118.2445,341,90012
113,191920328,19,2019-12-09T00:00:00.000,1008,14100    POLK                         ST,34.3196,-118.4561,623,91342
114,190326070,3,2019-12-09T00:00:00.000,330,1800 W  39TH                         ST,34.0147,-118.3132,740,90062
115,190223007,2,2019-12-09T00:00:00.000,1215,1600    WILSHIRE                     BL,34.0554,-118.2702,210,90017
116,191425190,14,2019-12-09T00:00:00.000,1330,12400    LOUISE                       AV,33.9948,-118.4257,236,90066
117,191323540,13,2019-12-09T00:00:00.000,745,100 E  35TH                         ST,34.0179,-118.2731,236,90007
118,191824567,18,2019-12-09T00:00:00.000,1020,700 E  109TH                        PL,33.9365,-118.26299999999999,626,90059
119,190128823,1,2019-12-09T00:00:00.000,435,300 E  5TH                          ST,34.0453,-118.2443,624,90013
120,191120593,11,2019-12-09T00:00:00.000,715,4500    HOLLYWOOD                    BL,34.099000000000004,-118.2884,510,90027
121,191824631,18,2019-12-09T00:00:00.000,1000,107TH                        ST,33.9389,-118.2338,210,90002
122,190128855,1,2019-12-09T00:00:00.000,200,400    STANFORD                     AV,34.0439,-118.2399,510,90013
123,191228530,12,2019-12-09T00:00:00.000,1900,60TH,33.9859,-118.3046,510,90047
124,190819358,8,2019-12-09T00:00:00.000,745,8500 W  PICO                         BL,34.0534,-118.3762,624,90035
125,191228468,12,2019-12-09T00:00:00.000,45,59TH                         ST,33.9872,-118.3308,210,90043
