,zipcode,address,price,size
0,91361,"1224 Landsburn Cir, Thousand Oaks, CA 91361",399000,924
1,91361,"2467 Leaflock Ave, Westlake Village, CA 91361",969900,2227
2,91361,"31568 Agoura Rd UNIT 3, Westlake Village, CA 91361",445900,1158
3,91361,"2052 Hillsbury Rd, Thousand Oaks, CA 91361",1149500,2128
4,91361,"3627 Summershore Ln, Westlake Village, CA 91361",600000,1096
5,91361,"31573 Lindero Canyon Rd UNIT 1, Westlake Village, CA 91361",415000,1158
6,91361,"2167 Wimbledon Cir, Westlake Village, CA 91361",785000,1540
7,91361,"868 W Stafford Rd, Thousand Oaks, CA 91361",4795000,6868
8,91361,"674 Duchy Way, Thousand Oaks, CA 91361",3450000,5954
9,91361,"31 Nottingham Rd, Westlake Village, CA 91361",588000,1848
11,91361,"1514 Eastwind Cir, Thousand Oaks, CA 91361",1599000,2635
12,91361,"2144 Bridgegate Ct, Westlake Village, CA 91361",1149000,2300
13,91361,"32027 Viewlake Ln, Westlake Village, CA 91361",1119000,2076
14,91361,"243 Rosemont Ct, Lake Sherwood, CA 91361",1319000,2222
15,91361,"2237 Kelmscott Ct, Westlake Village, CA 91361",1299900,2340
16,91361,"33 Nottingham Rd, Westlake Village, CA 91361",598900,1848
17,91361,"1202 S Westlake Blvd UNIT C, Westlake Village, CA 91361",935000,1626
18,91361,"3826 Charthouse Cir, Westlake Village, CA 91361",2050000,2470
19,91361,"4162 Beachmeadow Ln, Westlake Village, CA 91361",850000,2250
20,91361,"1576 Valecroft Ave, Westlake Village, CA 91361",975000,2304
21,91361,"2221 Silver Spring Dr, Westlake Village, CA 91361",1225000,2396
23,91361,"1621 Bushgrove Ct, Lake Sherwood, CA 91361",1395000,2782
24,91361,"1321 Bluesail Cir, Westlake Village, CA 91361",1899950,2797
25,91361,"3064 Foothill Dr, Thousand Oaks, CA 91361",835000,1609
26,91361,"31766 Oak Ranch Ct, Westlake Village, CA 91361",2025000,3977
27,91361,"1149 Bright Glen Cir, Westlake Village, CA 91361",669000,1149
28,91361,"1635 Bushgrove Ct, Lake Sherwood, CA 91361",1575000,3561
29,91361,"3230 Bayshore Dr, Westlake Village, CA 91361",1275000,2207
30,91361,"4219 Hunt Club Ln, Westlake Village, CA 91361",1450000,3109
31,91361,"3723 Summershore Ln, Westlake Village, CA 91361",599000,1364
32,91361,"1214 S Westlake Blvd UNIT D, Westlake Village, CA 91361",899000,1698
33,91361,"3709 Summershore Ln, Westlake Village, CA 91361",599000,1096
34,91361,"2378 Heatherbank Ct, Thousand Oaks, CA 91361",2295000,3758
35,91361,"2117 Crespi Ln, Westlake Village, CA 91361",669000,1402
36,91361,"31603 Village School Rd, Westlake Village, CA 91361",1100000,2665
37,91361,"4523 Henley Ct, Westlake Village, CA 91361",1288000,2137
38,91361,"31916 Benchley Ct, Westlake Village, CA 91361",1080000,2371
39,91361,"818 Rim Crest Dr, Westlake Village, CA 91361",1149000,2915
40,91364,"4910 Marmol Dr, Woodland Hills, CA 91364",665000,2100
41,91364,"4234 Alhama Dr, Woodland Hills, CA 91364",985000,3674
42,91364,"20933 Calimali Rd, Woodland Hills, CA 91364",100000,2408
44,91364,"21317 Costanso St, Woodland Hills, CA 91364",1499000,4309
45,91364,"19939 Wells Dr, Woodland Hills, CA 91364",1299000,2581
46,91364,"4806 Topanga Canyon Blvd, Woodland Hills, CA 91364",1030000,1780
47,91364,"21745 Ybarra Rd, Woodland Hills, CA 91364",1100000,2568
48,91364,"20419 Ruston Rd, Woodland Hills, CA 91364",1095000,2338
50,91364,"20927 Calimali Rd, Woodland Hills, CA 91364",55000,2330
51,91364,"21047 Dumetz Rd, Woodland Hills, CA 91364",1119000,3154
52,91364,"4500 Stark Ave, Woodland Hills, CA 91364",1250000,2061
