,zipcode,address,price,size
0,90255,"7312 Roseberry Ave, Huntington Park, CA 90255",775000,2964
1,90255,"7611 Seville Ave, Huntington Park, CA 90255",745000,3008
2,90255,"2545 Grand Ave, Huntington Park, CA 90255",775000,2262
3,90255,"2484 Cass Pl, Huntington Park, CA 90255",515000,1165
4,90255,"3277 E Gage Ave, Huntington Park, CA 90255",299900,922
5,90255,"7028 Plaska Ave # A, Huntington Park, CA 90255",349900,720
6,90255,"6213 Arbutus Ave, Huntington Park, CA 90255",469000,1245
7,90255,"6713 Middleton St, Huntington Park, CA 90255",1075000,3582
8,90255,"3018 Hope St, Walnut Park, CA 90255",580000,1490
9,90255,"6518 Cedar St, Huntington Park, CA 90255",634888,2203
12,90255,"2903 Grand Ave, Huntington Park, CA 90255",699900,3
13,90255,"6534 Malabar St, Huntington Park, CA 90255",540000,1754
17,90255,"6148 Cottage St, Huntington Park, CA 90255",615000,1829
22,90255,"2628 E 56th St, Huntington Park, CA 90255",519000,952
23,90255,"3607 Santa Ana St, Huntington Park, CA 90255",569899,1438
27,90255,"6606 Marconi St, Huntington Park, CA 90255",629000,2400
28,90255,"4000 Cudahy St, Huntington Park, CA 90255",514900,1644
29,90255,"2305 Walter St, Huntington Park, CA 90255",695000,2058
31,90255,"3111 Saturn Ave, Huntington Park, CA 90255",419494,1059
36,90255,"6100 Rugby Ave UNIT 206, Huntington Park, CA 90255",309900,952
37,90255,"2458 Walnut St, Huntington Park, CA 90255",660000,2113
38,90255,"6603 Templeton St, Huntington Park, CA 90255",370000,896
39,90255,"6325 Marconi St, Huntington Park, CA 90255",3240000,10881
40,90262,"12100 Muriel Dr, Lynwood, CA 90262",449900,1369
41,90262,"11666 Elm St, Lynwood, CA 90262",289000,856
42,90262,"11301 Hulme Ave, Lynwood, CA 90262",520000,1226
43,90262,"5536 Olanda St, Lynwood, CA 90262",530000,1663
44,90262,"5421 Fertile St, Lynwood, CA 90262",589000,1508
45,90262,"3233 Flower St, Lynwood, CA 90262",495000,1669
46,90262,"4733 Olanda St, Lynwood, CA 90262",515000,1366
47,90262,"3321 Norton Ave, Lynwood, CA 90262",1690000,6250
49,90262,"3282 Josephine St, Lynwood, CA 90262",572329,1276
53,90262,"12444 Santa Fe Ave, Lynwood, CA 90262",395000,961
61,90262,"11226 California Ave, Lynwood, CA 90262",410000,819
